Temperature,Resistance
25.378,42554
25.936,41557
26.351,36473
26.523,40342
26.899,35484
27.111,38677
27.457,33958
27.668,36494
28.007,32929
28.505,31973
29.053,30697
29.64,29724
30.198,28898
30.755,28347
31.313,27694
31.87,27001
32.427,26486
32.985,25761
33.542,25137
34.1,24528
34.657,23924
35.215,23344
35.772,22761
36.33,22066
36.878,21687
37.436,20955
38.009,20391
38.533,19843
39.79,16642
40.365,16204
40.962,15884
41.484,15380
42.144,14671
42.669,13865
43.431,11444
43.978,10633
44.552,9636.5
45.063,8737.2
45.564,8286.2
45.899,7403.8
46.361,7044.8
46.696,6286
47.16,5980.1
47.485,5295.1
48.061,4894.9
48.562,4974.8
48.857,4312.6
49.352,4090.4
49.724,3623.3
50.197,3445.6
50.394,3002.9
50.876,2869.6
50.968,2514.1
51.455,2288.2
51.904,1954.7
52.28,1580.9
52.389,1749.8
52.609,1598.4
52.624,1317.8
52.851,1073.8
52.909,1303.7
53.129,1125.3
53.202,922.23
53.45,775.35
53.739,663.7
54.065,570.61
54.46,502.62
54.488,542.25
54.947,428.27
55.437,358.56
55.837,308.44
56.265,263.4
56.749,246.03
56.818,221.9
57.28,221.18
57.374,195.46
57.739,204.35
57.922,176.43
58.431,165.25
58.921,156.57
59.353,144.5
59.452,167.28
59.978,157.71
60.567,158.05
61.124,155.04
61.622,148.12
62.239,155.15
62.843,146.06
63.354,141.92
63.95,142.24
64.469,140.88
65.026,140.53
65.583,139
66.141,138.96
66.698,138.98
67.255,137.46
67.813,135.94
68.37,135.93
68.927,135.95
69.484,135.97
70.024,137.97
70.567,138.1
71.156,142.74
71.756,137.55
72.271,136.07
72.828,135.95
73.385,133.93
73.943,133.46
74.5,133.48
75.027,135.98
75.615,133.09
76.22,130.34
76.729,133.27
77.206,135.12
77.657,126.02
78.258,140.14
78.799,138.08
79.356,135.94
79.913,135.41
80.471,134.29
81.028,134.25
81.585,133.68
82.143,132.19
82.695,129.13
83.257,133.04
83.832,132.43
84.363,129.59
84.923,129.34
85.487,129.14
86.044,129.08
86.601,129.15
87.158,129.2
87.716,129.14
88.273,128.89
88.792,130.57
89.396,128.8
89.912,127.52
90.496,127.13
91.042,129.08
91.617,129.24
92.174,128.74
92.731,127.67
93.289,127.59
93.846,126.22
94.403,126.65
94.821,126.87
