Temperature,Resistance
25.337, 57704
25.894, 57294
26.451, 56269
27.009, 55352
27.524, 52645
28.053, 50893
28.554, 50245
28.915, 46736
29.398, 46748
29.956, 45431
30.513, 44414
31.071, 43107
31.628, 42503
32.185, 41765
32.743, 40828
33.300, 39879
33.836, 39206
34.372, 37946
34.937, 37184
35.510, 36276
36.096, 35895
36.618, 35223
37.207, 34387
37.760, 33658
38.317, 33096
38.875, 32399
39.432, 31923
39.989, 31288
40.547, 30580
41.104, 29791
41.662, 29270
42.219, 28804
42.776, 28381
43.323, 28002
43.891, 27220
44.482, 26860
44.993, 26298
45.558, 25937
46.147, 25828
46.678, 26225
47.235, 27604
47.236, 24180
47.793, 25294
48.350, 24759
48.908, 24169
49.465, 23183
50.023, 22588
50.580, 23586
50.581, 20661
51.138, 21615
51.677, 21097
52.191, 20381
52.721, 20033
53.249, 20524
53.606, 18945
54.124, 20169
54.681, 19490
55.239, 18911
55.796, 18400
56.354, 17824
56.941, 16921
57.469, 15927
58.027, 15153
58.584, 14522
59.142, 13836
59.699, 13037
60.218, 12417
60.655, 11455
61.147, 10955
61.629, 10072
62.157, 9323.6
62.621, 7334.5
62.728, 8493.0
63.286, 7672.3
63.287, 6496.5
63.844, 6803.2
63.845, 5864.7
64.402, 6211.3
64.403, 5227.7
64.959, 4704.8
64.960, 5520.1
65.499, 4212.6
65.518, 4962.5
66.076, 4366.8
66.246, 3585.5
66.628, 3202.6
66.724, 3724.6
67.024, 2756.6
67.053, 3446.2
67.321, 2206.5
67.353, 2732.4
67.671, 1920.3
67.892, 2143.5
68.067, 1553.0
68.332, 1643.7
68.467, 1282.8
68.872, 1087.7
69.029, 1508.5
69.275, 924.69
69.580, 790.28
69.609, 999.77
69.917, 733.67
69.925, 1417.7
70.368, 726.45
70.469, 595.77
70.604, 1101.1
70.840, 515.49
71.260, 449.15
71.590, 386.34
71.925, 388.59
71.946, 337.64
72.304, 331.80
72.405, 282.94
72.888, 241.17
72.889, 272.64
73.357, 210.63
73.490, 233.65
74.017, 205.25
74.023, 212.93
74.650, 190.34
75.141, 178.37
75.606, 165.93
76.131, 157.78
76.692, 150.50
77.182, 147.49
78.202, 140.71
78.759, 135.37
79.316, 133.06
79.874, 131.58
80.431, 129.91
80.989, 129.72
81.546, 129.26
82.103, 127.57
82.707, 120.24
83.218, 127.19
83.543, 116.84
83.842, 126.74
84.204, 114.15
84.462, 126.20
84.833, 116.02
85.278, 123.36
85.489, 110.57
85.902, 121.97
85.995, 108.06
86.522, 123.49
86.523, 106.29
87.080, 114.09
87.636, 122.81
87.637, 106.41
88.194, 121.79
88.195, 106.38
88.751, 123.75
88.752, 106.31
89.308, 123.26
89.309, 106.42
89.846, 115.51
90.220, 111.00
90.674, 117.91
90.798, 107.80
91.214, 117.77
91.493, 108.43
91.888, 117.86
92.141, 110.28
92.612, 117.70
92.669, 108.56
93.185, 114.90
93.528, 113.52
