Temperature,Resistance
25.804, 2.5044e+5
26.361, 2.4448e+5
26.919, 2.3962e+5
27.476, 2.3457e+5
28.033, 2.2889e+5
28.591, 2.2343e+5
29.148, 2.2041e+5
29.706, 2.1586e+5
30.263, 2.1046e+5
30.821, 2.0678e+5
31.378, 2.0324e+5
31.935, 1.9912e+5
32.493, 1.9564e+5
33.050, 1.9113e+5
33.608, 1.8680e+5
34.165, 1.8361e+5
34.723, 1.7960e+5
35.280, 1.7582e+5
35.837, 1.7211e+5
36.395, 1.6835e+5
36.952, 1.6487e+5
37.510, 1.6062e+5
38.067, 1.5724e+5
38.625, 1.5442e+5
39.182, 1.5105e+5
39.739, 1.4937e+5
40.297, 1.4616e+5
40.854, 1.4425e+5
41.412, 1.4259e+5
41.969, 1.4072e+5
42.526, 1.3764e+5
43.084, 1.3485e+5
43.641, 1.3244e+5
44.199, 1.2960e+5
44.756, 1.2697e+5
45.313, 1.2450e+5
45.871, 1.2262e+5
46.428, 1.2086e+5
46.986, 1.1908e+5
47.543, 1.1662e+5
48.101, 1.1371e+5
48.658, 1.1203e+5
49.215, 1.0941e+5
49.773, 1.0671e+5
50.330, 1.0396e+5
50.888, 1.0231e+5
51.445, 99547
52.003, 98004
52.560, 96290
53.117, 94682
53.675, 93478
54.232, 91880
54.790, 90383
55.347, 88479
55.871, 87595
56.393, 85848
56.780, 84013
59.747, 70743
61.558, 72604
62.116, 69175
62.673, 66094
63.240, 61928
63.836, 57332
64.328, 53618
64.811, 49753
65.295, 47610
65.630, 42745
66.110, 40785
66.235, 35569
66.519, 37375
66.711, 31442
66.942, 25870
67.206, 22576
67.248, 18792
67.464, 15647
67.619, 17605
67.799, 15053
67.831, 11908
68.100, 10997
68.113, 8505.0
68.360, 8514.1
68.485, 7157.1
68.745, 5729.0
69.000, 5772.3
69.045, 4833.5
69.321, 4084.5
69.603, 3455.4
69.833, 2896.8
69.931, 2455.4
70.118, 2081.5
70.200, 2643.2
70.205, 1762.9
70.425, 1503.9
70.432, 1207.9
70.515, 939.18
70.532, 756.39
70.561, 1738.6
70.672, 603.03
70.741, 1517.7
70.742, 1295.2
70.790, 1097.0
70.824, 916.92
70.826, 482.96
70.886, 704.28
71.067, 547.43
71.099, 393.29
71.187, 489.11
71.264, 323.23
71.434, 274.54
71.528, 341.23
71.540, 235.46
71.747, 196.41
71.748, 266.90
71.969, 218.93
71.982, 167.35
72.237, 140.89
72.316, 164.96
72.470, 123.44
72.729, 128.35
72.820, 101.91
73.275, 91.443
73.400, 76.010
73.787, 81.159
73.833, 64.990
74.253, 60.377
74.515, 52.513
74.980, 50.312
75.218, 45.803
75.742, 46.144
76.200, 43.782
76.420, 35.930
77.021, 32.814
77.488, 31.297
77.765, 28.213
78.263, 27.303
78.851, 25.453
79.378, 24.066
79.768, 19.471
79.992, 22.975
80.489, 19.316
80.872, 21.669
81.122, 19.068
81.512, 21.444
81.739, 17.866
82.076, 21.167
82.634, 20.746
83.191, 20.318
83.748, 19.898
84.306, 19.558
84.748, 18.394
84.874, 19.122
85.620, 18.006
86.735, 17.991
87.809, 18.577
88.366, 18.456
88.804, 18.258
90.189, 14.833
90.836, 14.553
91.314, 14.575
91.931, 14.458
92.442, 14.489
93.304, 14.452
94.406, 16.920
94.636, 16.908
94.916, 14.134
95.393, 16.753
96.017, 16.653
96.156, 14.652
96.369, 14.180
96.502, 16.704
