Temperature,Resistance
25.484, 3.2024e+5
26.041, 3.1311e+5
26.539, 3.0722e+5
27.156, 3.0116e+5
27.713, 2.9398e+5
28.271, 2.8825e+5
28.828, 2.8436e+5
29.386, 2.7669e+5
29.943, 2.7108e+5
30.401, 2.6491e+5
30.978, 2.5723e+5
31.615, 2.4962e+5
32.134, 2.0320e+5
32.732, 1.9796e+5
33.289, 1.9356e+5
33.846, 1.8986e+5
34.404, 1.8489e+5
34.961, 1.8188e+5
35.519, 1.7935e+5
36.076, 1.7664e+5
36.634, 1.7292e+5
37.191, 1.6941e+5
37.748, 1.6571e+5
38.306, 1.6367e+5
38.863, 1.6055e+5
39.421, 1.5774e+5
39.978, 1.5454e+5
40.586, 1.5241e+5
41.093, 1.4948e+5
41.650, 1.4663e+5
42.208, 1.4430e+5
42.770, 1.4205e+5
43.263, 1.3925e+5
43.754, 1.3780e+5
44.583, 1.3525e+5
44.935, 1.3437e+5
45.731, 1.3139e+5
46.574, 1.5540e+5
47.581, 1.5182e+5
48.138, 1.4995e+5
48.696, 1.4679e+5
49.253, 1.4393e+5
49.811, 1.4216e+5
50.368, 1.3911e+5
50.925, 1.3784e+5
51.483, 1.3499e+5
52.040, 1.3306e+5
52.598, 1.3089e+5
53.155, 1.2808e+5
53.712, 1.2615e+5
54.270, 1.2384e+5
54.827, 1.2099e+5
55.385, 1.1935e+5
55.942, 1.1665e+5
56.499, 1.1428e+5
57.057, 1.1165e+5
57.614, 1.0943e+5
58.216, 1.0289e+5
58.691, 1.0171e+5
59.287, 1.0192e+5
59.844, 99248
60.402, 96452
60.959, 93584
61.517, 90728
62.074, 88209
62.632, 85655
63.189, 83276
63.747, 80084
64.304, 77140
64.862, 75301
65.419, 72474
65.977, 69520
66.553, 65599
67.092, 63910
67.649, 62274
68.181, 60535
68.672, 55436
69.164, 52709
69.362, 46306
69.824, 44937
69.960, 39143
70.417, 35877
70.675, 31512
71.158, 27774
71.686, 23858
72.205, 21928
72.301, 19279
72.628, 16679
72.633, 19838
72.924, 13043
72.933, 16503
73.254, 12577
73.285, 10308
73.573, 10297
73.681, 8456.1
73.983, 7158.4
74.267, 6036.9
74.424, 5136.2
74.713, 5032.2
74.733, 4609.4
74.773, 3959.1
74.905, 3197.5
75.173, 3434.2
75.188, 2254.7
75.221, 2757.0
75.401, 1973.0
75.494, 2445.2
75.574, 1538.5
75.715, 1938.7
75.824, 1257.2
75.876, 1587.1
76.098, 961.79
76.176, 1200.9
76.396, 994.05
76.398, 785.27
76.581, 652.83
76.678, 550.58
76.860, 449.96
76.931, 377.04
76.978, 559.06
77.131, 302.50
77.178, 457.71
77.239, 377.56
77.318, 253.29
77.419, 325.89
77.547, 174.86
77.553, 225.68
77.606, 117.00
77.774, 157.29
77.802, 181.90
77.888, 97.275
78.042, 142.39
78.183, 119.64
78.273, 88.593
78.656, 68.563
78.683, 86.406
78.983, 71.888
79.118, 61.669
79.395, 52.268
79.763, 41.515
79.867, 51.435
80.520, 33.675
81.168, 30.224
81.611, 30.125
82.288, 25.322
82.317, 30.426
83.069, 27.729
83.384, 25.141
83.705, 25.991
84.185, 24.588
84.544, 21.747
84.808, 23.107
84.978, 20.671
85.579, 21.919
85.703, 19.077
86.634, 19.921
87.092, 19.811
87.650, 19.402
88.190, 18.925
88.764, 18.957
89.321, 19.348
89.879, 19.117
90.436, 18.897
90.994, 18.763
91.551, 18.682
92.108, 18.489
92.665, 18.507
93.223, 18.391
93.780, 18.105
94.337, 18.013
94.895, 17.979
95.452, 17.801
96.027, 17.546
96.550, 17.489
97.090, 16.615
97.503, 16.295
