Temperature,Resistance
32.912, 2.7131e+5
33.789, 2.7048e+5
34.519, 2.5085e+5
35.381, 2.5159e+5
36.028, 2.3077e+5
36.884, 2.3181e+5
37.531, 2.1397e+5
38.416, 2.1285e+5
39.287, 2.0208e+5
40.238, 1.9760e+5
41.222, 1.8854e+5
42.191, 1.8273e+5
43.121, 1.7314e+5
44.024, 1.7062e+5
44.671, 1.5719e+5
45.535, 1.5880e+5
45.979, 1.4260e+5
46.851, 1.4428e+5
47.295, 1.2914e+5
48.167, 1.3045e+5
48.612, 1.1522e+5
49.499, 1.1618e+5
49.820, 99724
50.751, 83261
50.787, 1.0010e+5
51.377, 75119
51.836, 84295
52.234, 65107
52.784, 70095
53.011, 54310
53.497, 59186
53.692, 45645
54.229, 47489
54.354, 38388
55.020, 32296
55.182, 37434
55.754, 27527
56.068, 31374
56.509, 23578
56.885, 25998
57.157, 19323
57.389, 22740
57.461, 15892
58.015, 13660
58.031, 18449
58.569, 11299
58.599, 14998
59.114, 12821
59.422, 9759.1
59.657, 10859
60.118, 8199.6
60.529, 8917.6
60.869, 6965.1
61.489, 7462.2
61.686, 6341.7
61.920, 5120.0
62.781, 5112.2
63.512, 4760.6
64.388, 4716.1
65.193, 4428.2
66.153, 4349.8
67.186, 4215.2
68.219, 4083.3
69.252, 3998.9
70.285, 3898.3
71.295, 3824.0
72.279, 3681.0
73.290, 3581.2
74.323, 3464.3
75.356, 3370.1
76.389, 3276.1
77.422, 3177.0
78.433, 3091.7
79.417, 2973.9
80.344, 2934.1
81.074, 2732.3
81.944, 2743.3
82.389, 2383.2
83.276, 2386.8
83.596, 2152.3
84.563, 2201.9
85.633, 2128.7
86.650, 2145.9
87.619, 2083.1
88.549, 1983.6
89.540, 1940.7
90.573, 1901.9
91.605, 1869.8
92.638, 1838.2
93.671, 1802.7
94.661, 1777.3
95.591, 1713.5
96.582, 1697.3
97.615, 1663.4
98.647, 1630.1
99.680, 1591.9
100.71, 1565.0
101.75, 1546.2
102.78, 1524.9
103.81, 1510.2
104.84, 1507.3
105.88, 1504.5
106.91, 1479.6
107.94, 1456.6
108.97, 1439.1
110.01, 1419.8
111.04, 1401.7
112.07, 1383.4
113.10, 1366.2
114.14, 1355.0
114.89, 1355.2
