Temperature,Resistance
33.079, 1.4515e+6
34.021, 1.5942e+6
34.025, 1.3373e+6
35.021, 1.2951e+6
35.055, 1.5222e+6
36.050, 1.4169e+6
37.122, 1.3685e+6
37.593, 1.2798e+6
38.344, 1.2516e+6
38.947, 1.1373e+6
40.207, 1.1314e+6
41.125, 1.0610e+6
42.041, 9.5851e+5
43.184, 9.3939e+5
44.261, 1.0221e+6
45.310, 9.5908e+5
46.329, 8.9103e+5
47.363, 8.0712e+5
48.397, 7.6933e+5
49.349, 7.7167e+5
50.362, 7.2649e+5
51.269, 6.9677e+5
52.371, 6.8380e+5
53.225, 6.8487e+5
53.882, 6.3570e+5
54.310, 7.6772e+5
54.937, 6.1399e+5
55.905, 6.1561e+5
56.869, 6.2093e+5
57.673, 5.9000e+5
58.593, 6.1384e+5
58.768, 5.3925e+5
59.694, 5.8305e+5
59.989, 5.1468e+5
60.829, 5.8073e+5
61.048, 5.0095e+5
62.013, 5.5896e+5
62.016, 4.7007e+5
63.045, 5.4916e+5
63.050, 4.5138e+5
64.079, 5.1832e+5
64.083, 4.3344e+5
65.112, 5.0850e+5
65.116, 4.1358e+5
66.146, 4.7494e+5
66.150, 3.9380e+5
67.183, 3.7470e+5
67.282, 4.6200e+5
68.272, 3.6960e+5
68.275, 4.3438e+5
69.222, 4.3110e+5
69.330, 3.5290e+5
70.304, 3.5166e+5
71.315, 3.3149e+5
72.308, 3.4075e+5
72.483, 2.9516e+5
73.474, 3.2917e+5
73.478, 2.7478e+5
74.508, 3.1276e+5
74.512, 2.5907e+5
75.541, 2.9386e+5
75.546, 2.4324e+5
76.575, 2.7570e+5
76.579, 2.2741e+5
77.609, 2.5776e+5
77.613, 2.1262e+5
78.643, 2.4099e+5
78.647, 1.9920e+5
79.677, 2.2579e+5
79.681, 1.8690e+5
80.711, 2.1080e+5
80.715, 1.7498e+5
81.744, 1.9764e+5
81.748, 1.6371e+5
82.532, 1.5537e+5
82.778, 1.8465e+5
83.812, 1.7191e+5
84.846, 1.5994e+5
85.880, 1.4901e+5
86.914, 1.3921e+5
87.948, 1.3071e+5
88.981, 1.2263e+5
90.015, 1.1652e+5
90.892, 1.1145e+5
91.105, 98056
91.925, 1.0628e+5
92.135, 93737
92.959, 1.0149e+5
93.112, 89063
94.023, 97031
94.134, 84714
95.018, 92829
95.164, 82225
96.046, 89361
96.207, 79305
97.199, 77559
97.249, 85131
98.212, 75132
99.037, 68245
99.221, 78269
100.22, 71642
101.29, 71225
102.32, 71235
103.37, 68119
104.39, 68051
105.08, 66313
105.98, 66277
107.02, 65410
108.05, 64012
109.08, 62821
110.11, 61608
111.15, 59744
112.18, 58017
113.21, 56221
114.25, 54635
115.28, 53392
116.08, 52017
116.08, 41786
