Temperature,Resistance
26.161, 5.0912e+5
26.484, 5.9526e+5
27.291, 5.7759e+5
28.098, 5.5804e+5
28.905, 5.4180e+5
29.740, 5.2016e+5
30.517, 5.3048e+5
31.321, 5.4992e+5
32.129, 5.2936e+5
32.935, 5.1458e+5
33.742, 5.0298e+5
34.548, 4.9165e+5
35.355, 4.7822e+5
36.162, 4.6260e+5
36.969, 4.4749e+5
37.776, 4.2787e+5
38.608, 4.1316e+5
39.368, 3.9022e+5
40.190, 3.7908e+5
40.942, 3.7023e+5
41.829, 3.6177e+5
42.550, 3.4588e+5
43.412, 3.4157e+5
44.231, 3.3047e+5
45.039, 3.1578e+5
45.846, 2.9941e+5
46.021, 2.6693e+5
46.578, 2.6340e+5
47.319, 2.4405e+5
48.073, 2.1380e+5
48.714, 2.1846e+5
48.849, 1.5539e+5
48.868, 1.7952e+5
49.421, 1.3948e+5
49.728, 1.1205e+5
49.765, 1.5322e+5
50.059, 92727
50.149, 1.3324e+5
50.283, 80511
50.643, 1.1195e+5
50.674, 70787
50.942, 97202
51.092, 61322
51.381, 49802
51.596, 56990
51.610, 75030
51.690, 42186
51.859, 34575
51.881, 50947
52.231, 29477
52.280, 25845
52.607, 22491
52.810, 35752
52.822, 19561
53.207, 15336
53.254, 19009
53.361, 12679
53.595, 16524
53.707, 10741
54.013, 8397.4
54.311, 6990.0
54.501, 10969
54.558, 5568.1
54.789, 4666.2
54.801, 9177.4
54.850, 6575.8
55.073, 5995.0
55.263, 3912.6
55.819, 3519.0
55.835, 2682.7
56.344, 2340.5
56.828, 2425.6
56.876, 1984.6
57.237, 2043.3
57.489, 1670.5
58.174, 1458.4
58.456, 1155.2
58.751, 1460.4
59.086, 972.67
59.270, 1234.5
59.715, 1068.3
59.726, 860.54
60.315, 725.56
60.392, 914.35
61.014, 672.78
61.783, 667.54
62.013, 547.33
62.714, 547.56
63.287, 499.64
63.967, 474.54
64.327, 419.65
64.736, 400.35
65.257, 346.41
65.354, 402.30
66.133, 363.40
66.316, 311.63
66.975, 309.47
67.059, 325.35
67.866, 294.70
68.112, 243.31
68.737, 279.67
68.828, 229.38
69.545, 261.58
69.748, 221.82
70.278, 252.81
70.506, 202.38
71.331, 196.68
72.119, 194.40
72.873, 199.63
73.099, 178.99
73.877, 195.94
74.684, 189.19
75.543, 177.14
76.280, 175.91
76.778, 159.87
77.102, 181.73
77.928, 167.87
78.718, 163.17
79.524, 159.74
80.330, 157.34
81.137, 153.98
81.926, 151.31
82.694, 146.51
83.484, 142.26
84.291, 137.24
85.098, 132.51
85.904, 129.36
86.678, 127.03
87.516, 128.03
88.338, 125.45
89.126, 130.94
89.168, 114.83
89.991, 123.38
90.708, 121.42
91.593, 114.07
91.603, 120.99
92.392, 111.76
92.423, 127.84
93.230, 125.23
93.420, 113.04
94.168, 116.49
94.991, 115.80
95.764, 122.57
96.600, 122.63
97.406, 121.12
98.212, 118.53
99.089, 112.63
99.554, 109.28
100.19, 108.95
100.67, 107.13
