Temperature,Resistance
26.014, 1.0506e+6
25.937, 1.1944e+6
26.774, 1.0483e+6
27.531, 1.0730e+6
27.669, 9.5275e+5
28.322, 1.0173e+6
28.484, 8.8937e+5
29.353, 8.8420e+5
30.058, 7.9684e+5
30.726, 8.1382e+5
31.233, 7.3459e+5
31.902, 7.3460e+5
32.350, 6.7857e+5
33.014, 6.8767e+5
33.643, 6.4458e+5
34.345, 6.4796e+5
35.026, 6.1257e+5
35.787, 5.9029e+5
36.590, 5.6892e+5
37.400, 5.5629e+5
38.211, 5.3501e+5
38.985, 5.1560e+5
39.870, 5.0081e+5
40.628, 4.8820e+5
41.435, 4.7259e+5
42.241, 4.5902e+5
43.048, 4.4692e+5
43.787, 4.3049e+5
44.607, 4.0484e+5
45.397, 3.9109e+5
46.215, 3.7977e+5
47.011, 3.6731e+5
47.818, 3.5357e+5
48.625, 3.4161e+5
49.431, 3.3146e+5
50.221, 3.2190e+5
50.990, 3.0969e+5
51.721, 3.0409e+5
52.351, 2.8375e+5
53.035, 2.8084e+5
53.607, 2.6035e+5
54.283, 2.5861e+5
54.855, 2.4117e+5
55.523, 2.4058e+5
55.747, 2.1264e+5
56.254, 2.4865e+5
56.623, 1.9943e+5
56.980, 2.1972e+5
57.247, 1.6769e+5
57.417, 1.9393e+5
57.676, 1.3028e+5
57.852, 1.6000e+5
58.205, 1.2320e+5
58.420, 98138
58.763, 80897
58.894, 68123
59.140, 57860
58.852, 96343
59.433, 49967
59.402, 69440
59.680, 39724
59.854, 31830
59.715, 56239
60.200, 26818
60.017, 44139
60.522, 22647
60.354, 35588
60.560, 31107
60.788, 19366
60.955, 16182
60.750, 26289
61.335, 14326
61.104, 21923
61.548, 11901
61.366, 18970
61.855, 10153
61.677, 16233
62.102, 6425.8
62.138, 8781.6
62.001, 13616
62.314, 5340.1
62.209, 11453
62.373, 7569.6
62.402, 4410.6
62.452, 3707.2
62.527, 9604.2
62.688, 6484.6
62.933, 3245.3
62.890, 5304.8
63.245, 2714.7
63.104, 4531.4
63.274, 3888.0
63.685, 2304.0
63.702, 3228.8
64.145, 1993.0
64.245, 2607.6
64.667, 2270.3
64.799, 1549.1
64.954, 1913.1
65.631, 1677.7
65.604, 1275.2
66.049, 1108.0
65.963, 1568.7
66.672, 928.05
66.705, 1195.3
67.090, 728.82
67.335, 980.63
67.581, 623.54
67.973, 520.01
67.743, 860.38
68.269, 605.67
68.404, 411.27
68.689, 489.72
68.995, 348.05
69.459, 288.93
69.088, 423.20
69.714, 341.84
70.198, 267.18
70.432, 208.92
70.939, 245.19
71.306, 189.28
71.879, 165.23
71.716, 198.54
72.547, 137.87
72.573, 166.31
73.268, 128.88
74.060, 115.42
74.788, 108.78
75.137, 97.971
75.816, 96.918
76.388, 89.140
77.084, 86.634
77.764, 81.195
78.525, 78.423
79.283, 75.869
80.138, 75.019
80.945, 72.791
81.752, 70.284
82.559, 68.365
83.365, 66.579
83.531, 58.130
84.245, 64.882
84.250, 56.290
85.051, 63.848
85.057, 55.427
85.844, 57.018
86.612, 55.550
87.357, 54.281
88.208, 52.874
89.044, 49.575
89.700, 48.503
90.556, 46.979
91.362, 46.171
92.165, 49.635
92.171, 42.565
92.714, 49.987
92.978, 41.250
93.784, 40.419
94.591, 39.775
95.397, 39.046
96.193, 37.342
97.010, 37.066
97.817, 36.487
98.622, 36.236
99.429, 35.823
100.23, 35.242
101.01, 34.714
101.51, 36.982
