Temperature,Resistance
26.459, 1.1716e+6
26.465, 9.9739e+5
27.267, 1.1168e+6
27.273, 9.5833e+5
28.074, 1.0711e+6
28.079, 9.2703e+5
28.856, 9.8164e+5
29.061, 8.7555e+5
29.613, 8.9622e+5
30.338, 8.2946e+5
31.002, 8.3260e+5
31.371, 7.6113e+5
32.064, 7.7084e+5
32.625, 7.1276e+5
33.294, 7.1654e+5
33.726, 6.6805e+5
34.407, 6.7141e+5
35.036, 6.2977e+5
35.786, 6.0878e+5
36.542, 5.8952e+5
37.431, 5.7217e+5
38.268, 5.7000e+5
38.998, 6.4107e+5
39.013, 5.3376e+5
39.828, 6.1926e+5
39.820, 5.1759e+5
40.621, 5.9538e+5
40.517, 5.0142e+5
41.427, 5.7916e+5
41.895, 5.1610e+5
42.280, 5.5486e+5
43.056, 5.3078e+5
43.847, 5.4461e+5
44.366, 4.5024e+5
44.653, 5.3191e+5
45.173, 4.3901e+5
45.460, 5.1929e+5
45.955, 4.2585e+5
46.266, 5.0696e+5
46.762, 4.1535e+5
47.073, 4.9402e+5
47.349, 4.0810e+5
47.880, 4.7906e+5
48.686, 4.6883e+5
49.493, 4.5770e+5
50.299, 4.4739e+5
51.137, 4.3309e+5
51.955, 4.1398e+5
52.720, 4.0065e+5
53.527, 3.8650e+5
54.335, 3.6528e+5
55.142, 3.5227e+5
55.950, 3.3180e+5
56.757, 3.1764e+5
57.518, 3.0715e+5
58.198, 2.9364e+5
58.940, 2.4497e+5
58.958, 2.8687e+5
59.635, 2.0348e+5
59.622, 2.5804e+5
59.753, 1.6490e+5
59.994, 1.4255e+5
60.113, 1.2095e+5
60.275, 1.0356e+5
60.243, 2.1752e+5
60.719, 89493
60.485, 1.4543e+5
60.512, 1.9168e+5
60.728, 1.1782e+5
61.169, 74125
61.048, 1.0044e+5
61.505, 62031
61.665, 83961
62.042, 55698
62.122, 72134
62.487, 61072
62.602, 48904
62.830, 52201
63.013, 39674
63.274, 46419
63.660, 37673
63.703, 31853
63.898, 27921
64.245, 24243
64.531, 21107
64.445, 29245
64.746, 18018
64.836, 24553
65.181, 14665
65.171, 21176
65.491, 17585
65.588, 12610
65.954, 14259
65.985, 10001
66.409, 8274.7
66.346, 11774
66.581, 6830.2
66.731, 5796.6
66.688, 9912.5
67.087, 5044.5
67.011, 8118.8
67.185, 4198.3
67.301, 6664.5
67.612, 3644.0
67.732, 3106.3
67.668, 5137.6
68.046, 2661.0
67.867, 4298.3
68.288, 2317.6
68.275, 3646.4
68.437, 3086.0
68.911, 2031.0
68.838, 2534.8
69.372, 1755.4
69.322, 2085.6
69.875, 1489.2
69.767, 1774.8
70.347, 1276.8
70.867, 1086.2
70.931, 811.05
70.731, 1302.7
71.472, 1017.8
71.603, 698.57
71.991, 601.25
72.437, 717.82
72.550, 535.25
72.917, 651.81
73.144, 455.97
73.621, 397.10
73.528, 539.07
73.900, 467.45
74.414, 376.49
74.755, 318.61
75.240, 270.46
75.492, 307.91
76.008, 249.99
75.913, 292.96
76.544, 213.88
77.176, 181.63
76.984, 231.19
77.984, 168.28
78.724, 157.98
79.148, 149.00
79.855, 142.18
80.182, 126.13
80.867, 120.89
81.507, 109.60
82.249, 105.93
83.056, 102.84
83.793, 102.87
84.226, 95.081
84.898, 95.860
85.470, 90.002
86.148, 90.333
86.496, 83.057
87.239, 83.031
87.981, 81.861
88.552, 75.650
89.294, 74.185
90.042, 75.295
90.671, 70.575
91.369, 70.346
91.621, 63.860
92.310, 65.556
92.881, 61.209
93.623, 60.819
94.429, 59.813
95.236, 57.824
95.974, 57.148
96.848, 56.426
97.394, 54.656
98.095, 54.631
98.901, 53.661
99.707, 52.742
100.26, 44.474
100.29, 52.277
