Temperature,Resistance
26.054, 4.0911e+5
26.790, 4.2750e+5
26.795, 3.6953e+5
27.567, 4.0253e+5
27.722, 3.5748e+5
28.417, 3.7334e+5
28.766, 3.3746e+5
29.445, 3.4266e+5
29.751, 3.1127e+5
30.467, 3.2135e+5
31.163, 2.9967e+5
31.868, 2.9575e+5
32.322, 2.7383e+5
32.963, 2.7634e+5
33.494, 2.5535e+5
33.843, 2.3413e+5
34.205, 2.6811e+5
34.724, 2.2197e+5
35.012, 2.5604e+5
35.819, 2.4557e+5
35.986, 2.0991e+5
36.700, 2.3366e+5
36.706, 1.9867e+5
37.507, 2.2260e+5
37.514, 1.8880e+5
38.315, 2.1050e+5
38.321, 1.7898e+5
38.908, 1.7255e+5
39.123, 1.9919e+5
39.989, 1.8616e+5
40.753, 1.7574e+5
41.546, 1.6820e+5
42.320, 1.6185e+5
43.047, 1.5389e+5
43.804, 1.4911e+5
44.573, 1.4336e+5
45.315, 1.4022e+5
45.996, 1.3368e+5
46.699, 1.2958e+5
47.345, 1.1952e+5
47.795, 1.3333e+5
48.265, 1.1923e+5
48.852, 1.2132e+5
48.991, 1.0820e+5
49.679, 1.1095e+5
49.956, 97046
50.645, 1.0849e+5
50.741, 90861
51.474, 82619
51.510, 88826
52.101, 73241
52.401, 62695
52.897, 66290
52.925, 54184
53.275, 44846
53.468, 54400
53.654, 38257
53.815, 32249
53.898, 46794
54.126, 27955
54.160, 23587
54.233, 40850
54.386, 34183
54.501, 20886
54.687, 27928
54.841, 14552
54.847, 11169
54.988, 22291
54.991, 17969
55.203, 9296.2
55.431, 14468
55.733, 7769.6
55.744, 11669
56.017, 6416.1
56.505, 5503.1
56.751, 7165.3
56.814, 4670.6
57.234, 6022.7
57.357, 4209.0
57.493, 5500.1
58.109, 3148.6
58.165, 3913.3
58.462, 3552.2
59.015, 3217.3
59.433, 2628.5
59.729, 1977.3
59.793, 2487.8
60.095, 1730.3
60.407, 1501.7
60.649, 1730.1
60.769, 1163.4
60.987, 1393.6
61.343, 1020.7
61.518, 1131.4
61.875, 876.31
62.276, 930.69
62.564, 807.71
63.096, 763.52
63.204, 611.20
63.945, 650.42
63.953, 515.72
64.758, 450.94
64.770, 573.90
65.272, 406.33
66.027, 396.60
66.708, 418.16
66.824, 346.98
67.769, 345.56
67.941, 371.98
68.495, 322.71
69.242, 336.99
69.248, 288.45
70.050, 322.80
70.056, 275.30
70.857, 306.77
70.863, 262.58
71.633, 254.20
71.664, 294.75
72.471, 286.00
72.608, 247.42
73.352, 273.97
73.358, 234.52
73.981, 228.60
74.098, 264.71
74.966, 255.12
75.631, 217.06
75.773, 247.54
76.580, 239.02
77.387, 228.68
77.901, 222.03
78.314, 187.95
79.080, 183.51
79.182, 223.45
79.886, 180.58
79.952, 216.08
80.692, 177.27
80.759, 210.95
81.499, 172.22
81.566, 205.69
82.290, 202.00
82.306, 166.19
83.113, 160.07
83.919, 158.13
84.723, 164.63
85.529, 165.58
86.335, 162.35
87.142, 159.47
87.979, 154.09
88.757, 144.08
89.563, 139.99
90.370, 137.55
91.176, 136.40
91.982, 135.13
92.770, 132.51
93.491, 128.97
93.699, 132.17
94.351, 127.03
95.077, 125.75
95.979, 127.12
96.815, 123.81
97.585, 120.72
98.359, 119.75
99.164, 118.92
99.970, 118.87
100.78, 118.38
101.51, 115.77
102.06, 115.07
