Temperature,Resistance
29.413, 2.6152e+6
29.425, 2.6938e+6
30.649, 2.6814e+6
31.276, 2.5853e+6
31.805, 2.6630e+6
32.416, 2.5471e+6
33.416, 2.4923e+6
34.402, 2.4623e+6
34.830, 2.4131e+6
35.760, 2.3609e+6
36.721, 2.2804e+6
37.396, 2.3152e+6
37.659, 2.1830e+6
38.433, 2.0831e+6
38.619, 2.2075e+6
39.129, 2.0364e+6
39.483, 1.9405e+6
40.026, 2.0486e+6
40.056, 1.8912e+6
40.329, 1.7980e+6
40.942, 1.8989e+6
41.045, 1.7363e+6
41.528, 1.6565e+6
41.901, 1.7379e+6
42.299, 1.5695e+6
42.805, 1.5219e+6
42.971, 1.4373e+6
43.239, 1.5963e+6
43.792, 1.3713e+6
44.482, 1.4053e+6
44.693, 1.2315e+6
45.013, 1.3724e+6
45.403, 1.1714e+6
45.739, 1.2295e+6
46.104, 1.0626e+6
46.528, 1.1536e+6
46.590, 1.0126e+6
47.073, 1.0622e+6
47.399, 8.9190e+5
47.834, 9.6952e+5
48.326, 8.8570e+5
48.714, 7.5790e+5
49.067, 7.9419e+5
49.693, 7.1497e+5
49.982, 6.4163e+5
50.860, 5.9851e+5
51.097, 5.4195e+5
52.088, 4.7568e+5
52.689, 4.0588e+5
53.400, 4.0103e+5
53.997, 3.4317e+5
54.541, 3.5131e+5
55.533, 3.2099e+5
56.583, 2.9608e+5
56.663, 2.5244e+5
57.724, 2.7549e+5
57.855, 2.3769e+5
58.949, 2.5720e+5
59.233, 2.1579e+5
60.372, 2.3935e+5
60.464, 1.7861e+5
61.536, 2.2854e+5
62.297, 1.7666e+5
63.587, 1.6535e+5
64.870, 1.5644e+5
66.055, 1.5530e+5
67.517, 1.4893e+5
69.003, 1.4236e+5
70.226, 1.4056e+5
71.467, 1.3736e+5
72.932, 1.3459e+5
74.217, 1.3352e+5
75.396, 1.3225e+5
76.761, 1.2716e+5
78.084, 1.2401e+5
78.607, 37852
79.325, 1.2021e+5
79.745, 31935
80.882, 27935
80.917, 1.1329e+5
82.020, 25306
82.203, 1.1233e+5
83.157, 24047
83.461, 1.0753e+5
84.295, 18952
85.432, 15500
86.383, 12763
87.707, 6131.5
88.845, 2132.2
89.982, 325.07
91.119, -659.93
92.257, -2741.1
93.394, -4274.1
94.531, -3614.9
95.668, -2955.7
96.805, -4214.7
97.943, -4651.7
99.080, -4814.6
100.22, -6073.6
101.17, 4003.4
