Temperature,Resistance
28.263, 2.7875e+6
28.493, 2.7043e+6
29.401, 2.7764e+6
29.804, 2.6920e+6
30.539, 2.7661e+6
31.028, 2.6786e+6
31.677, 2.7533e+6
32.098, 2.6618e+6
32.816, 2.7391e+6
33.648, 2.6694e+6
33.915, 2.7252e+6
34.922, 2.6806e+6
36.150, 2.6575e+6
37.445, 2.6466e+6
38.674, 2.6391e+6
39.836, 2.6310e+6
40.511, 2.5467e+6
41.116, 2.6194e+6
41.618, 2.5357e+6
42.410, 2.6077e+6
42.756, 2.5213e+6
43.667, 2.5878e+6
43.926, 2.5053e+6
44.865, 2.5579e+6
46.082, 2.5191e+6
47.137, 2.4604e+6
47.366, 2.5286e+6
48.497, 2.4750e+6
49.136, 2.4046e+6
49.760, 2.3008e+6
49.900, 2.3803e+6
50.540, 2.3088e+6
50.617, 2.1615e+6
50.840, 2.2485e+6
50.885, 2.1084e+6
51.182, 1.9959e+6
51.195, 1.9204e+6
51.468, 2.1524e+6
51.890, 2.0342e+6
51.893, 1.7971e+6
52.067, 1.9640e+6
52.147, 1.7432e+6
52.667, 1.8385e+6
52.942, 1.6087e+6
53.048, 1.7591e+6
53.391, 1.5718e+6
53.623, 1.6705e+6
54.059, 1.5917e+6
54.356, 1.5380e+6
54.467, 1.4114e+6
55.000, 1.4556e+6
55.290, 1.3566e+6
55.446, 1.2118e+6
55.872, 1.3194e+6
56.136, 1.2462e+6
56.388, 1.1590e+6
56.416, 1.0272e+6
56.948, 9.7943e+5
57.211, 1.0411e+6
57.271, 8.0126e+5
57.272, 8.5459e+5
57.553, 9.5249e+5
57.849, 6.7931e+5
58.077, 8.5307e+5
58.732, 5.4760e+5
58.760, 7.1244e+5
59.763, 5.8080e+5
60.266, 4.6788e+5
61.141, 3.7279e+5
61.260, 4.6168e+5
62.295, 3.0748e+5
62.350, 3.9510e+5
63.491, 3.4835e+5
63.497, 2.6929e+5
64.630, 3.1558e+5
65.406, 2.5560e+5
65.942, 2.8076e+5
66.589, 2.4601e+5
67.529, 2.5642e+5
68.668, 2.4310e+5
69.806, 2.3143e+5
69.941, 1.4642e+5
70.944, 2.2195e+5
71.346, 1.3819e+5
72.082, 2.0754e+5
72.932, 1.3409e+5
73.030, 1.9795e+5
74.217, 1.3292e+5
75.396, 1.3225e+5
76.761, 1.2716e+5
78.084, 1.2401e+5
79.407, 1.2267e+5
79.434, 38880
80.882, 29854
80.917, 1.1631e+5
82.020, 27224
82.203, 1.1333e+5
83.157, 25965
83.512, 1.1284e+5
84.294, 23610
85.074, 1.0244e+5
85.431, 24269
86.253, 1.0237e+5
86.383, 21204
87.707, 14627
88.045, 97128
88.844, 14190
89.182, 96782
89.981, 13205
90.389, 93462
91.119, 8383.2
91.423, 88032
92.256, 1643.5
93.394, -2903.9
94.531, -3614.9
95.668, -2955.7
96.805, -4214.7
97.943, -4651.7
99.080, -4814.6
100.22, -6073.6
101.31, -4506.6
102.21, -2452.3
