Temperature,Resistance
25.482, 246.90
25.969, 223.10
26.279, 240.52
26.704, 215.38
27.055, 235.03
27.548, 214.18
27.865, 229.81
28.236, 204.06
28.622, 224.43
28.807, 197.27
29.406, 218.73
30.190, 213.66
30.974, 207.84
30.980, 186.79
31.758, 201.17
31.764, 180.14
32.545, 185.70
32.334, 176.46
33.386, 175.60
34.046, 173.10
34.729, 163.88
35.439, 161.65
35.843, 154.48
36.611, 150.64
37.395, 145.46
38.179, 142.71
38.534, 131.75
39.183, 131.83
40.034, 126.97
40.818, 124.77
41.603, 118.89
42.318, 111.21
43.102, 107.11
43.886, 105.68
43.859, 111.47
44.740, 103.55
45.536, 96.886
46.284, 92.801
47.084, 89.322
47.880, 86.445
48.652, 84.231
49.478, 81.114
50.218, 80.439
51.025, 78.741
51.795, 81.882
51.800, 75.270
52.578, 81.843
52.583, 74.027
53.362, 79.614
53.367, 72.310
54.145, 77.842
54.206, 70.381
54.929, 76.081
55.713, 73.786
55.819, 66.759
56.569, 71.025
56.574, 64.582
57.352, 69.588
57.358, 62.610
58.137, 66.612
58.142, 60.653
58.925, 60.913
59.705, 63.257
59.710, 57.765
60.489, 61.671
60.493, 57.284
61.257, 58.312
62.125, 56.607
62.659, 56.651
62.986, 53.617
63.824, 53.717
64.548, 56.990
64.198, 50.863
65.333, 54.467
66.183, 52.951
66.539, 50.512
67.186, 50.371
67.938, 49.843
68.804, 51.296
69.534, 50.065
70.317, 49.696
71.027, 47.376
71.039, 50.654
71.745, 45.199
71.882, 49.730
72.426, 45.112
72.644, 49.004
73.206, 43.061
73.449, 48.173
74.269, 42.345
74.232, 47.502
75.010, 42.871
74.936, 46.314
75.748, 43.183
76.483, 44.131
76.588, 40.778
77.294, 44.640
77.371, 40.074
78.077, 44.135
78.154, 39.561
78.863, 41.935
78.967, 39.128
79.729, 39.665
80.436, 39.264
81.054, 37.920
81.729, 37.721
82.568, 36.904
83.419, 35.798
84.111, 35.351
84.919, 34.657
85.702, 34.485
86.485, 34.172
87.268, 34.170
88.050, 34.065
88.833, 33.986
89.438, 33.860
