Temperature,Resistance
24.511, 989.49
25.270, 1015.6
25.303, 938.98
26.125, 993.17
26.908, 972.35
27.013, 880.71
27.692, 957.00
28.476, 933.76
29.287, 907.87
30.105, 884.27
30.827, 865.16
31.658, 834.56
32.395, 819.15
33.217, 797.99
33.962, 786.71
34.802, 754.62
35.531, 738.58
36.314, 721.18
37.098, 702.61
37.815, 693.05
38.306, 666.38
38.959, 666.35
39.514, 637.68
40.217, 627.07
40.965, 602.35
41.732, 580.48
42.516, 562.54
43.255, 546.63
43.883, 523.75
44.655, 517.79
44.682, 462.49
45.440, 495.39
45.445, 445.55
46.224, 475.76
46.194, 428.57
47.009, 457.60
47.115, 412.09
47.865, 434.69
47.871, 391.55
48.650, 417.15
48.656, 374.33
49.435, 398.21
49.255, 361.95
50.220, 378.95
51.026, 355.62
51.737, 339.76
52.437, 331.70
52.857, 315.20
53.573, 319.02
53.577, 293.72
54.329, 299.40
54.458, 271.78
55.014, 254.77
55.237, 273.86
55.678, 233.43
55.933, 250.97
56.338, 211.94
56.578, 226.92
56.975, 191.39
57.109, 210.62
57.620, 174.99
57.511, 195.49
58.087, 158.52
58.050, 177.73
58.642, 144.41
59.351, 133.72
59.267, 153.77
60.050, 123.52
59.913, 137.69
60.716, 111.98
60.593, 126.06
61.348, 102.42
61.238, 114.71
61.874, 92.768
62.045, 101.75
62.495, 85.665
62.845, 76.491
62.769, 89.275
63.234, 81.544
63.486, 70.681
63.776, 73.583
63.969, 63.991
64.522, 59.686
64.613, 63.707
65.241, 56.346
65.922, 53.063
66.624, 47.867
67.270, 46.996
67.768, 44.715
68.172, 40.295
68.485, 43.517
68.623, 38.744
69.687, 40.879
70.471, 39.601
70.834, 35.102
71.255, 38.552
71.682, 35.474
72.396, 36.897
72.401, 33.544
73.179, 36.431
73.185, 32.312
73.963, 35.547
73.969, 31.622
74.746, 34.854
74.752, 31.276
75.530, 34.234
75.535, 30.969
76.248, 32.677
76.740, 30.946
77.198, 33.088
77.459, 29.476
77.880, 32.557
78.241, 29.220
78.663, 32.225
79.024, 29.097
79.446, 31.789
79.819, 29.460
80.253, 31.632
80.639, 28.977
81.036, 31.207
81.494, 30.361
81.848, 31.034
82.578, 30.755
83.361, 30.545
84.173, 29.807
84.927, 29.683
85.711, 29.248
86.493, 29.158
87.276, 29.019
88.028, 28.545
88.733, 27.827
