Temperature,Transmittance
36.490, 77.584
36.492, 76.759
37.141, 76.755
37.383, 77.536
38.276, 77.376
38.393, 76.615
39.217, 77.161
39.884, 76.614
40.713, 76.903
40.715, 76.145
41.607, 76.584
41.608, 75.825
42.431, 75.947
42.806, 75.591
43.587, 75.466
44.340, 74.997
45.131, 74.809
45.884, 74.379
46.726, 74.245
46.728, 73.434
47.621, 73.531
47.622, 72.696
48.265, 72.024
48.457, 72.817
48.961, 71.252
49.207, 71.830
49.552, 70.366
49.818, 70.975
50.126, 69.585
50.426, 68.420
50.442, 70.049
50.877, 69.294
50.931, 67.584
51.156, 66.535
51.284, 68.503
51.519, 65.597
51.634, 67.407
51.725, 62.963
51.797, 64.183
51.987, 66.421
51.997, 62.066
52.005, 61.228
52.184, 65.442
52.196, 59.224
52.243, 60.177
52.348, 64.654
52.444, 63.654
52.498, 62.639
52.557, 58.231
52.692, 61.541
52.728, 57.156
52.844, 60.316
52.927, 59.496
53.032, 56.266
53.207, 58.481
53.378, 55.295
53.512, 57.017
53.922, 55.885
53.991, 55.354
55.051, 52.824
55.189, 51.801
55.408, 51.075
55.573, 50.053
55.719, 49.103
55.741, 52.745
55.979, 48.239
55.995, 51.744
56.207, 50.228
56.269, 47.397
56.439, 49.157
56.499, 46.383
56.765, 48.245
56.804, 45.525
56.897, 47.460
57.141, 44.620
57.189, 46.498
57.546, 43.644
57.550, 45.499
57.873, 42.786
57.923, 44.522
58.286, 41.954
58.358, 43.432
58.746, 42.609
58.805, 41.078
59.133, 41.912
59.270, 40.201
59.573, 41.045
59.805, 39.410
60.172, 40.068
60.639, 39.744
63.115, 35.339
63.904, 34.547
63.936, 35.520
64.755, 34.589
65.195, 33.769
65.575, 33.233
66.173, 33.476
66.359, 32.356
67.116, 31.525
67.190, 32.418
67.604, 31.075
68.176, 31.436
68.487, 30.632
69.270, 30.626
69.421, 29.889
70.134, 29.238
70.280, 30.027
70.889, 29.881
79.361, 26.735
80.016, 26.258
80.190, 27.048
81.153, 26.800
81.901, 26.706
82.890, 26.480
83.797, 26.688
84.620, 26.393
85.606, 26.510
86.373, 26.354
86.553, 25.654
87.336, 26.445
87.650, 25.786
88.439, 26.353
88.667, 25.638
89.447, 26.297
89.448, 25.531
90.016, 25.883
