Temperature,Transmittance
20.167, 71.294
20.963, 71.257
21.113, 70.582
21.938, 70.728
22.089, 70.042
22.891, 70.135
23.167, 69.489
23.948, 69.606
24.224, 69.042
24.985, 69.124
25.462, 68.647
26.203, 68.650
26.762, 68.145
27.508, 68.099
28.139, 67.631
28.885, 67.532
29.362, 66.999
30.108, 66.970
30.739, 66.504
31.491, 66.443
31.875, 65.832
32.642, 65.818
32.919, 65.116
33.722, 65.133
33.872, 64.377
34.731, 64.459
34.733, 63.645
35.626, 63.745
35.627, 62.945
36.486, 63.005
36.637, 62.233
37.163, 61.411
37.496, 62.401
37.985, 61.341
38.471, 61.714
38.545, 60.526
39.023, 59.642
39.274, 60.476
39.630, 58.868
39.879, 57.921
39.992, 59.280
40.331, 57.120
40.467, 58.532
40.915, 57.729
40.968, 56.365
41.282, 56.911
41.701, 55.855
42.062, 55.130
42.706, 55.466
42.758, 54.405
43.575, 53.646
43.601, 54.494
44.176, 53.033
44.565, 53.584
44.869, 52.280
45.342, 52.675
45.607, 51.432
46.001, 51.860
46.322, 50.629
46.571, 51.175
46.838, 49.697
47.141, 50.395
47.331, 48.476
47.703, 49.312
48.080, 47.725
48.455, 46.686
48.762, 47.578
48.877, 45.880
49.267, 46.711
49.348, 45.081
49.802, 45.776
49.825, 44.147
50.318, 44.926
50.392, 43.379
50.815, 43.989
50.815, 42.433
51.196, 41.824
51.255, 43.243
51.704, 42.347
51.908, 41.790
52.397, 40.571
52.993, 39.853
53.174, 40.706
53.671, 39.133
53.969, 39.551
54.257, 38.275
54.634, 38.739
54.896, 37.497
55.342, 37.871
55.568, 36.655
56.383, 36.711
56.385, 36.008
57.202, 36.135
57.679, 35.597
58.415, 35.579
58.941, 35.113
59.646, 35.149
60.029, 34.582
60.777, 34.595
61.254, 34.054
62.015, 34.090
62.292, 33.476
63.094, 33.603
63.244, 32.942
63.859, 33.243
63.861, 32.674
65.199, 31.440
66.004, 31.336
66.757, 31.028
67.587, 31.003
68.300, 30.532
69.071, 30.485
69.702, 30.117
70.452, 30.052
71.063, 29.623
71.904, 29.713
72.797, 29.578
73.691, 29.414
74.584, 29.270
75.477, 29.182
76.370, 29.112
77.264, 29.044
78.157, 29.041
79.050, 29.034
79.943, 28.966
80.836, 28.937
81.729, 28.891
82.622, 28.798
83.515, 28.795
84.408, 28.792
85.301, 28.789
86.194, 28.786
87.087, 28.759
87.981, 28.686
88.874, 28.683
89.767, 28.680
90.660, 28.677
91.431, 28.674
