Temperature,Transmittance
20.347, 66.690
21.135, 66.803
21.285, 66.142
22.074, 66.230
22.458, 65.698
23.205, 65.793
23.683, 65.318
24.424, 65.309
24.983, 64.785
25.724, 64.724
26.202, 64.163
27.019, 64.215
27.021, 63.432
27.913, 63.585
27.915, 62.730
28.538, 62.449
28.878, 62.787
29.348, 61.810
29.791, 61.026
30.093, 61.696
30.479, 60.275
30.793, 60.783
31.177, 59.379
31.533, 59.992
31.952, 58.916
32.721, 58.229
33.325, 57.477
33.743, 57.872
34.101, 56.840
34.510, 56.168
34.991, 56.678
35.230, 55.417
35.769, 55.803
36.030, 54.760
36.636, 54.229
37.276, 53.432
37.309, 54.325
37.763, 52.885
38.245, 53.404
38.461, 52.184
39.154, 52.275
39.194, 51.338
40.004, 51.176
40.604, 51.246
42.141, 49.154
42.799, 49.458
42.925, 48.338
43.572, 48.554
43.722, 47.455
44.305, 47.653
44.399, 46.600
44.956, 46.740
44.981, 45.669
45.526, 45.847
45.620, 44.795
46.208, 43.956
46.259, 44.858
46.847, 43.114
46.910, 43.945
47.507, 42.281
47.651, 43.043
48.210, 41.655
48.521, 42.099
49.131, 41.161
49.793, 40.542
49.984, 40.977
50.594, 40.024
51.178, 39.172
51.448, 39.790
51.953, 37.328
52.013, 38.752
52.604, 38.964
52.754, 37.452
53.030, 36.797
53.810, 36.815
54.086, 36.137
54.923, 36.247
54.925, 35.474
55.748, 35.520
56.132, 34.939
56.921, 35.060
57.072, 34.329
57.931, 34.436
57.932, 33.646
58.784, 33.712
59.005, 33.039
59.766, 33.244
59.917, 32.479
60.776, 32.564
60.777, 31.822
61.554, 31.906
63.901, 30.978
64.721, 30.945
65.525, 30.673
66.363, 30.494
67.220, 30.283
67.586, 30.653
68.151, 30.029
68.981, 29.971
69.874, 29.841
70.716, 29.679
71.469, 29.322
72.291, 29.318
73.142, 29.101
73.978, 28.992
74.661, 28.774
75.478, 28.637
76.372, 28.569
77.265, 28.417
78.158, 28.307
79.051, 28.213
79.945, 28.105
80.838, 28.102
81.731, 28.099
82.624, 28.067
83.517, 28.017
84.410, 28.014
85.303, 28.011
86.196, 28.008
87.089, 28.005
87.982, 28.001
88.875, 27.886
89.768, 27.845
90.661, 27.842
91.555, 27.839
92.448, 27.836
