Temperature,Transmittance
20.441, 62.882
21.201, 63.009
21.477, 62.328
22.314, 62.396
22.316, 61.609
23.175, 61.683
23.325, 60.971
24.150, 61.066
24.301, 60.351
25.126, 60.449
25.276, 59.759
26.101, 59.880
26.251, 59.184
27.054, 59.262
27.330, 58.581
28.133, 58.630
28.284, 57.899
29.143, 58.019
29.144, 57.243
30.003, 57.334
30.154, 56.587
31.008, 55.801
31.013, 56.688
31.589, 55.464
31.977, 55.837
32.456, 54.827
33.290, 54.742
33.291, 53.945
34.150, 54.012
34.292, 53.189
34.777, 52.725
35.221, 53.196
35.631, 52.188
36.128, 51.599
36.531, 52.016
37.022, 51.075
37.844, 50.925
37.846, 50.107
38.549, 49.595
38.715, 50.198
39.442, 49.100
39.904, 48.325
40.345, 48.890
40.704, 47.955
41.551, 47.878
41.701, 47.137
42.555, 46.404
42.560, 47.238
43.421, 46.530
43.571, 45.828
44.374, 45.951
44.650, 45.279
45.453, 45.373
45.603, 44.702
46.428, 44.876
46.578, 44.167
47.368, 44.209
47.752, 43.649
48.519, 43.710
48.795, 43.049
49.562, 43.093
49.946, 42.549
50.713, 42.614
50.989, 42.003
51.770, 42.100
52.046, 41.477
52.813, 41.548
53.197, 40.991
53.944, 41.009
54.503, 40.563
55.244, 40.539
55.803, 40.035
56.544, 40.015
57.022, 39.551
57.776, 39.557
58.448, 39.193
59.229, 39.161
59.860, 38.762
60.631, 38.675
61.344, 38.284
62.226, 38.203
63.068, 38.046
63.820, 37.774
64.662, 37.617
65.580, 37.410
65.840, 37.291
66.592, 37.346
67.443, 37.171
68.280, 37.098
69.084, 36.917
69.941, 36.868
70.834, 36.750
71.727, 36.709
72.620, 36.646
73.513, 36.627
74.407, 36.538
75.263, 36.422
76.068, 36.213
76.924, 36.141
77.781, 35.998
78.585, 35.819
79.405, 35.725
80.209, 35.468
81.066, 35.348
81.960, 35.197
82.853, 35.083
83.746, 35.001
84.639, 34.862
85.532, 34.812
86.426, 34.692
87.319, 34.684
88.212, 34.615
89.105, 34.624
89.998, 34.699
90.891, 34.820
91.587, 34.831
