Temperature,Transmittance
26.644, 80.831
27.480, 80.903
28.249, 80.990
28.839, 80.690
29.537, 80.875
30.059, 80.511
30.776, 80.568
31.479, 80.341
32.267, 80.233
33.085, 80.093
33.886, 79.782
34.699, 79.667
35.535, 79.522
36.371, 79.432
37.207, 79.260
38.043, 79.184
38.879, 79.026
39.714, 78.881
40.532, 78.723
41.328, 78.444
42.079, 78.333
42.669, 77.910
43.367, 77.861
43.889, 77.346
44.601, 77.194
44.858, 76.442
45.573, 76.230
45.718, 75.439
46.434, 74.925
46.799, 73.760
47.199, 74.725
47.421, 73.010
47.845, 73.714
47.939, 72.073
48.263, 72.909
48.333, 71.073
48.681, 70.191
48.727, 71.963
49.156, 71.068
49.181, 69.300
49.503, 68.361
49.542, 70.139
49.897, 69.297
49.915, 67.680
50.226, 68.489
50.248, 66.700
50.558, 65.661
50.592, 67.369
50.837, 64.618
51.075, 66.288
51.146, 63.787
51.493, 65.078
51.514, 62.924
51.703, 61.992
51.854, 64.135
52.112, 61.097
52.215, 63.189
52.557, 62.255
52.573, 60.122
52.937, 61.362
53.044, 59.162
53.317, 60.468
53.539, 58.240
53.697, 59.647
54.001, 57.307
54.203, 58.648
54.664, 56.608
54.773, 57.609
55.352, 56.536
56.195, 55.031
56.858, 54.924
57.040, 54.103
57.818, 53.542
58.604, 53.243
58.744, 52.491
59.516, 52.641
59.655, 51.916
60.395, 52.025
60.753, 51.408
61.453, 51.398
61.898, 50.875
62.593, 50.909
63.038, 50.424
63.732, 50.442
64.254, 49.987
64.948, 50.042
65.394, 49.562
66.159, 49.445
66.947, 49.283
67.688, 48.949
68.439, 49.137
68.439, 48.320
69.243, 48.923
69.382, 48.198
70.116, 48.654
70.561, 48.209
71.259, 48.468
71.849, 48.107
72.586, 48.504
72.726, 47.779
73.530, 48.507
73.530, 47.661
74.313, 48.256
74.570, 47.621
75.354, 48.251
75.354, 47.405
76.190, 47.773
77.026, 48.138
77.026, 47.310
77.861, 48.096
77.861, 47.242
78.697, 48.046
78.697, 47.204
79.457, 47.599
