Temperature,Transmittance
19.878, 89.955
20.739, 90.083
21.410, 89.606
22.212, 89.655
22.959, 89.741
23.833, 89.775
24.643, 89.726
25.453, 89.694
26.263, 89.679
27.073, 89.650
27.883, 89.645
28.693, 89.593
29.503, 89.526
29.761, 88.503
30.313, 89.481
30.903, 88.412
31.124, 89.418
31.713, 88.342
31.934, 89.327
32.523, 88.307
32.744, 89.312
33.333, 88.196
33.407, 89.247
34.192, 88.177
36.223, 88.067
36.958, 88.204
37.588, 87.894
38.341, 88.185
38.341, 87.382
39.151, 87.882
39.151, 87.113
40.035, 86.591
40.910, 86.514
41.655, 86.602
41.655, 85.666
42.400, 85.895
42.972, 85.288
43.654, 85.062
44.001, 84.388
44.718, 84.364
44.853, 83.654
45.403, 80.685
45.575, 83.608
45.723, 79.622
45.990, 78.487
46.111, 80.657
46.221, 82.894
46.284, 77.592
46.325, 76.632
46.332, 79.697
46.493, 75.804
46.540, 78.672
46.615, 74.666
46.663, 82.981
46.679, 73.718
46.761, 72.935
46.810, 77.046
46.909, 72.021
46.921, 76.032
46.979, 70.983
47.105, 74.643
47.158, 69.912
47.273, 68.982
47.282, 73.352
47.436, 72.128
47.450, 68.183
47.567, 66.919
47.609, 65.777
47.620, 70.993
47.743, 69.839
47.780, 64.606
47.915, 63.395
47.989, 68.650
48.062, 61.958
48.062, 67.694
48.178, 66.632
48.224, 60.412
48.283, 59.308
48.283, 65.688
48.388, 58.540
48.431, 64.456
48.442, 57.648
48.550, 56.691
48.578, 62.924
48.675, 55.646
48.725, 61.399
48.756, 54.770
48.788, 48.033
48.829, 53.872
48.843, 60.153
48.872, 53.004
48.909, 59.195
48.980, 52.134
48.983, 57.937
49.079, 56.668
49.255, 55.317
49.267, 47.583
49.351, 54.013
49.417, 52.823
49.462, 51.979
49.535, 47.384
49.683, 47.865
49.721, 46.523
49.805, 44.596
49.861, 45.514
50.002, 43.846
50.247, 46.136
50.318, 43.014
50.419, 44.910
50.453, 41.982
50.684, 41.132
50.699, 43.860
50.920, 42.824
50.956, 40.197
51.100, 42.003
51.155, 38.404
51.219, 39.403
51.330, 37.510
51.362, 41.099
51.634, 40.485
51.644, 35.800
51.818, 39.402
51.818, 38.575
51.892, 37.725
51.944, 36.889
52.437, 35.672
53.218, 35.609
53.997, 35.774
54.132, 35.185
54.911, 35.363
55.722, 35.330
56.532, 35.722
56.532, 34.889
57.342, 35.469
57.342, 34.764
58.152, 35.050
58.962, 34.915
59.772, 34.893
60.582, 34.798
61.392, 34.768
62.203, 34.730
63.013, 34.696
63.823, 34.579
64.633, 34.543
65.296, 34.151
65.512, 34.742
66.253, 34.560
67.063, 34.453
67.873, 34.462
68.683, 34.465
69.501, 34.491
70.269, 34.529
71.114, 34.362
71.629, 34.336
73.102, 34.174
73.895, 34.202
74.722, 33.876
75.598, 34.148
76.343, 34.262
77.153, 34.277
77.963, 34.241
78.842, 34.163
79.598, 34.777
80.385, 34.770
80.903, 34.133
81.719, 34.162
82.529, 34.219
83.372, 34.122
84.080, 34.211
84.959, 34.133
85.787, 34.254
86.580, 34.162
87.339, 34.342
88.231, 34.429
89.010, 34.583
89.452, 35.027
89.452, 34.200
