Temperature,Transmittance
21.255, 89.796
21.453, 89.159
22.028, 88.978
22.212, 89.768
23.022, 89.773
23.833, 89.779
24.643, 89.784
25.453, 89.769
26.263, 89.747
27.073, 89.695
27.883, 89.693
28.693, 89.699
29.503, 89.680
30.313, 89.672
31.124, 89.677
31.934, 89.645
32.744, 89.623
33.554, 89.605
34.364, 89.613
35.174, 89.592
35.984, 89.597
36.845, 89.533
37.539, 89.424
38.415, 89.497
39.225, 88.717
39.274, 89.329
40.035, 89.747
40.845, 89.599
41.213, 89.150
42.023, 89.521
42.612, 88.664
42.833, 89.492
43.423, 88.670
43.644, 89.498
44.122, 89.463
44.216, 88.918
45.899, 88.752
46.565, 89.253
46.767, 88.564
47.429, 89.234
47.598, 88.539
48.357, 89.157
48.357, 88.327
49.093, 88.240
49.160, 88.886
51.155, 88.299
51.966, 88.253
52.729, 88.141
53.643, 87.949
54.327, 87.923
54.969, 87.463
55.591, 87.371
56.090, 86.988
56.716, 86.122
56.826, 87.260
57.142, 85.314
57.526, 86.472
57.579, 84.548
57.931, 85.774
58.078, 85.086
58.165, 83.829
58.815, 82.993
59.428, 81.921
60.040, 81.251
60.391, 80.112
60.553, 81.533
60.615, 79.220
60.693, 78.261
60.730, 77.471
60.866, 80.730
61.083, 79.891
61.125, 76.359
61.270, 78.670
61.384, 75.427
61.429, 77.359
61.613, 76.468
61.818, 74.572
61.834, 75.769
61.922, 73.336
62.145, 72.428
62.276, 74.394
62.320, 71.414
62.361, 70.448
62.460, 73.619
62.497, 66.894
62.571, 64.634
62.580, 62.541
62.589, 69.510
62.608, 72.793
62.629, 68.521
62.672, 61.748
62.703, 60.486
62.710, 65.630
62.755, 71.855
62.777, 63.653
62.824, 59.456
62.865, 70.816
62.882, 58.492
62.924, 67.693
63.035, 57.514
63.072, 66.545
63.081, 56.491
63.086, 68.964
63.160, 65.689
63.160, 64.862
63.226, 55.160
63.307, 62.879
63.318, 63.856
63.399, 61.795
63.415, 53.953
63.442, 60.814
63.558, 59.868
63.581, 52.960
63.602, 52.032
63.639, 59.106
63.786, 57.679
63.872, 55.951
63.933, 54.994
63.961, 51.004
64.044, 54.036
64.301, 52.329
64.366, 50.145
64.605, 49.414
64.670, 51.430
65.038, 50.292
65.056, 48.628
65.388, 49.227
65.590, 48.511
66.860, 44.762
67.284, 44.722
67.412, 43.786
67.836, 43.862
67.846, 42.864
68.337, 42.022
68.757, 42.027
68.796, 41.128
69.253, 40.320
69.729, 39.463
69.899, 40.156
70.409, 38.730
70.598, 39.334
71.183, 38.176
71.429, 38.610
71.981, 37.724
72.734, 37.641
72.734, 36.903
73.493, 37.030
73.742, 36.425
74.451, 36.464
74.700, 35.770
75.396, 35.955
75.743, 35.418
76.433, 35.455
77.063, 35.138
77.816, 35.135
78.616, 35.229
79.315, 35.048
80.203, 35.175
80.914, 35.107
81.793, 35.351
82.234, 34.531
82.603, 35.360
83.045, 34.526
83.482, 35.165
84.154, 35.189
85.033, 35.445
85.843, 34.992
86.653, 35.425
86.653, 34.670
87.463, 35.051
88.163, 35.058
