Temperature,Transmittance
14.673, 76.139
15.368, 76.164
15.800, 75.719
16.472, 75.779
16.979, 75.393
17.655, 75.412
18.227, 75.051
18.954, 74.992
19.726, 74.770
20.455, 74.691
20.802, 74.105
21.486, 74.118
21.834, 73.452
22.574, 72.638
22.581, 73.489
23.027, 72.138
23.354, 72.744
23.645, 71.425
23.965, 71.949
24.252, 70.596
24.606, 70.980
24.841, 69.708
25.195, 70.120
25.426, 68.879
25.784, 69.279
25.942, 67.932
26.155, 66.964
26.226, 68.586
26.631, 67.699
26.664, 66.179
27.010, 66.791
27.060, 65.274
27.422, 64.458
27.552, 65.665
27.805, 63.626
27.883, 64.797
28.076, 62.682
28.215, 61.794
28.307, 63.829
28.541, 61.004
28.656, 62.836
28.705, 59.868
28.885, 61.913
29.022, 58.946
29.146, 60.826
29.272, 58.109
29.400, 59.888
29.464, 57.233
29.515, 56.275
29.651, 59.029
29.745, 55.560
29.872, 58.166
29.989, 54.719
30.019, 57.247
30.240, 56.234
30.245, 53.923
30.579, 52.895
30.608, 54.986
30.760, 51.607
30.844, 53.976
30.966, 50.681
31.160, 52.831
31.275, 49.708
31.389, 51.786
31.462, 48.843
31.629, 50.688
31.730, 47.993
31.973, 47.146
32.028, 49.285
32.214, 46.301
32.220, 44.747
32.314, 48.170
32.633, 47.120
32.845, 43.891
32.868, 45.926
32.944, 44.744
33.381, 42.968
33.613, 43.686
33.967, 42.155
34.094, 42.847
34.428, 41.330
34.622, 41.911
34.790, 40.209
35.056, 41.125
35.228, 39.359
35.498, 40.302
35.736, 38.608
35.940, 39.463
36.369, 38.264
36.651, 37.339
37.384, 37.514
37.384, 36.790
38.143, 36.976
38.392, 36.362
39.105, 36.377
39.787, 36.101
40.482, 36.065
40.914, 35.614
41.622, 35.611
42.351, 35.392
43.128, 35.260
43.938, 35.095
44.748, 35.029
45.558, 34.981
46.368, 34.956
47.179, 34.895
47.989, 34.866
48.799, 34.885
49.609, 34.931
50.419, 35.017
51.229, 35.109
52.039, 35.019
52.849, 34.895
53.659, 34.962
54.470, 35.015
55.280, 35.003
56.090, 34.886
56.900, 34.827
57.710, 34.858
58.520, 34.865
59.330, 34.899
60.140, 34.979
60.951, 35.234
61.761, 35.347
62.571, 35.373
63.381, 35.433
64.191, 35.478
65.001, 35.483
65.811, 35.489
66.621, 35.494
67.431, 35.499
68.242, 35.531
69.052, 35.633
69.862, 35.671
70.672, 35.799
71.482, 35.808
72.292, 35.864
73.102, 36.102
73.655, 35.776
73.970, 36.330
74.722, 36.414
75.533, 36.602
76.343, 36.667
77.153, 36.736
77.963, 36.777
78.773, 36.866
79.583, 37.017
80.393, 37.070
81.203, 37.185
82.013, 37.231
82.824, 37.237
83.634, 37.303
84.444, 37.440
85.254, 37.478
86.064, 37.526
86.874, 37.638
87.684, 37.645
88.494, 37.650
89.305, 37.656
90.157, 37.661
