Temperature,Transmittance
11.313, 70.823
12.123, 70.926
12.933, 70.959
13.743, 70.964
14.553, 70.969
15.363, 70.898
16.173, 70.830
16.983, 70.835
17.793, 70.841
18.604, 70.771
19.414, 70.701
20.224, 70.707
21.034, 70.656
21.844, 70.586
22.654, 70.559
23.464, 70.489
24.257, 70.358
25.028, 70.070
25.790, 69.861
25.905, 69.016
26.332, 68.373
26.594, 69.121
26.953, 67.610
27.091, 68.367
27.498, 66.802
27.613, 67.525
27.942, 65.977
28.104, 66.677
28.267, 64.832
28.583, 65.828
28.951, 65.129
28.988, 64.112
29.175, 63.140
29.614, 64.007
29.739, 62.170
29.986, 63.108
30.207, 61.387
30.579, 62.105
30.647, 60.555
30.927, 61.386
30.947, 59.572
31.271, 60.591
31.399, 58.834
31.615, 59.687
31.823, 57.970
32.066, 58.718
32.107, 57.018
32.523, 57.940
32.584, 56.303
32.876, 56.905
32.945, 55.435
33.181, 54.333
33.308, 56.117
33.617, 55.146
33.730, 53.287
33.904, 54.220
34.200, 52.497
34.474, 53.332
34.555, 51.613
34.924, 52.305
34.997, 50.790
35.395, 51.403
35.440, 49.821
35.800, 50.686
35.874, 48.989
36.205, 49.864
36.336, 48.237
36.662, 48.936
36.708, 47.375
37.084, 46.594
37.148, 48.007
37.424, 45.627
37.562, 45.049
37.568, 47.041
37.899, 46.079
38.038, 44.138
38.300, 44.938
38.727, 43.449
39.028, 43.857
39.211, 42.539
39.575, 42.921
39.724, 41.722
40.182, 41.886
40.239, 40.853
40.698, 41.038
40.755, 39.988
41.213, 40.190
41.256, 39.067
41.485, 38.097
41.847, 39.007
41.930, 37.369
42.288, 38.123
42.379, 36.526
42.929, 37.015
43.072, 35.810
43.749, 35.956
43.771, 34.978
44.380, 35.191
44.477, 34.161
45.088, 33.465
45.243, 34.109
45.899, 33.338
46.663, 33.255
47.473, 33.180
48.283, 33.099
49.093, 33.048
49.903, 32.969
50.714, 32.900
51.524, 32.890
52.334, 32.765
53.144, 32.755
53.954, 32.662
54.764, 32.616
55.574, 32.539
56.384, 32.476
57.195, 32.482
58.005, 32.487
58.815, 32.493
59.625, 32.455
