Temperature,Transmittance
11.552, 72.973
12.309, 72.256
12.347, 73.137
12.807, 71.745
13.376, 72.094
13.508, 71.029
14.234, 70.194
14.234, 71.141
14.913, 69.383
14.981, 70.243
15.516, 69.520
15.566, 68.524
16.133, 68.682
16.148, 67.643
16.668, 67.895
16.728, 66.843
17.231, 66.022
17.353, 66.778
17.707, 65.150
17.942, 65.788
17.948, 64.289
18.504, 64.849
18.628, 63.537
18.917, 62.458
19.299, 63.580
19.438, 61.740
19.627, 62.895
19.943, 60.951
20.071, 61.966
20.666, 60.206
20.676, 61.048
21.405, 59.343
21.506, 60.115
22.137, 58.549
22.310, 59.270
22.798, 57.653
23.018, 58.371
23.110, 56.579
23.568, 55.834
23.577, 57.412
23.864, 54.730
23.960, 56.523
24.272, 53.739
24.274, 55.679
24.663, 52.968
24.674, 54.661
25.197, 52.107
25.218, 53.483
25.464, 52.665
25.621, 51.182
25.930, 50.284
25.985, 51.777
26.075, 49.319
26.341, 50.990
26.472, 48.454
26.655, 50.178
26.958, 49.233
27.188, 48.491
28.073, 46.753
28.873, 46.809
28.904, 45.867
29.586, 45.593
29.892, 45.977
30.463, 45.086
31.236, 45.002
31.624, 44.523
32.461, 44.619
33.369, 44.577
34.277, 44.527
35.184, 44.430
36.092, 44.293
37.000, 44.241
37.907, 44.137
38.815, 44.086
39.723, 44.086
40.631, 44.086
41.539, 44.086
42.447, 44.086
43.355, 44.086
44.262, 44.086
45.170, 44.086
46.078, 44.086
46.986, 44.086
47.523, 44.086
50.407, 44.101
51.278, 44.086
52.186, 44.127
53.094, 44.205
54.002, 44.297
54.910, 44.331
55.818, 44.409
56.726, 44.478
57.634, 44.542
58.542, 44.567
59.450, 44.624
60.358, 44.695
61.266, 44.707
62.174, 44.771
63.082, 44.837
63.990, 44.916
64.898, 45.034
65.806, 45.089
66.714, 45.197
67.622, 45.228
68.530, 45.228
69.378, 45.304
70.017, 45.647
